id,name,manufacturer,documentType,language,department
toshiba-b9,TOSHIBA B9,ENEOS Corporation,SDS,English,Maintenance & Lubricants
ultimeg-2000372-red,Ultimeg 2000372 RED,,SDS,English,Unassigned
uniplex-grease-nlgi-1,Uniplex Grease NLGI 1,,SDS,English,Maintenance & Lubricants
uniplex-grease-nlgi-2,Uniplex Grease NLGI 2,,SDS,English,Maintenance & Lubricants
uniplex-grease-nlgi-2-en,Uniplex Grease NLGI 2,,SDS,English,Maintenance & Lubricants
voratron-ef-414-isocyanate,VORATRON EF 414 Isocyanate,,SDS,Malay,Adhesives & Sealants
voratron-eh-601t-epoxy-hardener,VORATRON EH 601T Epoxy Hardener,,SDS,Malay,Adhesives & Sealants
voratron-ec-132-polyol,VORATRON™ EC 132 Polyol,Dow Europe GmbH,SDS,English,Adhesives & Sealants
voratron-er-201-epoxy-resin,VORATRON™ ER 201 Epoxy Resin,DOW CHEMICAL (MALAYSIA) SDN. BHD.,SDS,English,Adhesives & Sealants
vt-210,VT-210,,SDS,English,Adhesives & Sealants
vt-210-high-performance-sealant,VT-210 High Performance Sealant,Vital Technical Sdn. Bhd,SDS,English,Adhesives & Sealants
vt-210-high-performance-sealant-ms,VT-210 High Performance Sealant,Vital Technical Sdn. Bhd,SDS,Malay,Adhesives & Sealants
wd-40-aerosol,WD-40 Aerosol,WD-40 Company,SDS,English,Paint & Coating
wd-40-aerosol-asia,WD-40 Aerosol,WD-40 Company,SDS,English,Maintenance & Lubricants
weatherblok-xt,WEATHERBLOK XT,,SDS,English,Pest Control & Sanitation
white-spirit,White Spirit,,SDS,English,Cleaning & Solvents
ysi-3821-buffer-solution-ph4,YSI-3821-Buffer-Solution-pH4,,SDS,English,Laboratory & QC
ysi-3822-buffer-solution-ph7,YSI-3822-Buffer-Solution-pH7,,SDS,English,Laboratory & QC
ysi-3823-buffer-solution-ph10,YSI-3823-Buffer-Solution-pH10,,SDS,English,Laboratory & QC
zinc-rich-pr-grey,Zinc Rich PR Grey,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
